縣市,行政區,BUILD,平均單價元平方公尺,交易筆數
南投縣,中寮鄉,中古屋,8458.0,2
南投縣,南投市,中古屋,28281.06,115
南投縣,南投市,新成屋,42762.67,3
南投縣,名間鄉,中古屋,21770.62,16
南投縣,國姓鄉,中古屋,17906.5,2
南投縣,國姓鄉,新成屋,23938.0,1
南投縣,埔里鎮,中古屋,28629.48,101
南投縣,埔里鎮,新成屋,36534.0,2
南投縣,水里鄉,中古屋,21757.67,3
南投縣,竹山鎮,中古屋,17390.08,24
南投縣,竹山鎮,新成屋,38936.17,6
南投縣,草屯鎮,中古屋,31055.4,87
南投縣,草屯鎮,新成屋,52709.47,15
南投縣,集集鎮,中古屋,23119.4,5
南投縣,集集鎮,新成屋,35560.0,1
南投縣,魚池鄉,中古屋,30231.0,1
南投縣,鹿谷鄉,中古屋,49361.0,1
台中市,中區,中古屋,27483.71,31
台中市,北區,中古屋,44581.7,1336
台中市,北區,新成屋,29387.26,88
台中市,北屯區,中古屋,44187.49,1502
台中市,北屯區,新成屋,63269.52,225
台中市,南區,中古屋,41621.2,858
台中市,南區,新成屋,50356.2,309
台中市,南屯區,中古屋,52595.52,1038
台中市,南屯區,新成屋,73402.14,125
台中市,后里區,中古屋,38826.95,20
台中市,后里區,新成屋,53577.25,4
台中市,外埔區,中古屋,28052.0,5
台中市,外埔區,新成屋,34772.0,1
台中市,大安區,中古屋,21520.0,1
台中市,大甲區,中古屋,32958.96,47
台中市,大甲區,新成屋,205.0,1
台中市,大肚區,中古屋,26188.19,36
台中市,大里區,中古屋,35971.96,464
台中市,大里區,新成屋,58784.38,16
台中市,大雅區,中古屋,38587.89,147
台中市,大雅區,新成屋,64370.64,11
台中市,太平區,中古屋,34039.9,520
台中市,太平區,新成屋,52294.32,120
台中市,新社區,中古屋,26109.33,3
台中市,東勢區,中古屋,20028.69,39
台中市,東區,中古屋,41949.89,171
台中市,東區,新成屋,49696.14,35
台中市,梧棲區,中古屋,23778.31,42
台中市,梧棲區,新成屋,46423.4,5
台中市,沙鹿區,中古屋,38110.69,118
台中市,沙鹿區,新成屋,52169.45,132
台中市,清水區,中古屋,28865.12,51
台中市,清水區,新成屋,46402.33,3
台中市,潭子區,中古屋,42817.59,373
台中市,潭子區,新成屋,52571.17,6
台中市,烏日區,中古屋,40269.46,94
台中市,烏日區,新成屋,67185.52,21
台中市,石岡區,中古屋,35153.0,2
台中市,神岡區,中古屋,34315.8,51
台中市,西區,中古屋,46932.92,852
台中市,西區,新成屋,87600.87,75
台中市,西屯區,中古屋,54067.3,1774
台中市,西屯區,新成屋,66644.46,327
台中市,豐原區,中古屋,44739.96,236
台中市,豐原區,新成屋,56130.08,25
台中市,霧峰區,中古屋,35827.16,25
台中市,龍井區,中古屋,21901.25,55
台中市,龍井區,新成屋,52262.55,20
台北市,中山區,中古屋,140399.47,715
台北市,中山區,新成屋,131207.78,176
台北市,中正區,中古屋,186434.53,237
台北市,中正區,新成屋,186995.27,128
台北市,信義區,中古屋,151426.72,533
台北市,信義區,新成屋,328971.47,76
台北市,內湖區,中古屋,142180.5,901
台北市,內湖區,新成屋,174272.55,292
台北市,北投區,中古屋,120629.6,583
台北市,北投區,新成屋,158358.26,208
台北市,南港區,中古屋,154692.49,204
台北市,南港區,新成屋,183355.32,232
台北市,士林區,中古屋,115816.96,750
台北市,士林區,新成屋,165063.99,250
台北市,大同區,中古屋,121705.59,99
台北市,大同區,新成屋,78019.39,31
台北市,大安區,中古屋,199783.87,665
台北市,大安區,新成屋,266587.33,136
台北市,文山區,中古屋,125537.44,689
台北市,文山區,新成屋,166737.16,325
台北市,松山區,中古屋,153955.73,430
台北市,松山區,新成屋,276141.66,122
台北市,萬華區,中古屋,114747.15,194
台北市,萬華區,新成屋,123983.94,36
台南市,下營區,中古屋,13611.0,1
台南市,中西區,中古屋,30586.97,229
台南市,中西區,新成屋,39334.24,17
台南市,仁德區,中古屋,30967.93,135
台南市,仁德區,新成屋,36786.16,43
台南市,佳里區,中古屋,22767.97,36
台南市,佳里區,新成屋,38650.51,37
台南市,六甲區,中古屋,21145.2,5
台南市,北區,中古屋,33954.4,466
台南市,北區,新成屋,51574.22,54
台南市,北門區,中古屋,44806.33,3
台南市,南區,中古屋,24917.37,466
台南市,南區,新成屋,50836.42,24
台南市,善化區,中古屋,26728.98,60
台南市,善化區,新成屋,35210.43,104
台南市,大內區,中古屋,8946.5,2
台南市,學甲區,中古屋,14171.29,17
台南市,安南區,中古屋,32069.04,290
台南市,安南區,新成屋,47935.54,141
台南市,安定區,中古屋,20173.0,5
台南市,安平區,中古屋,31437.12,462
台南市,安平區,新成屋,59696.33,18
台南市,官田區,中古屋,15927.12,8
台南市,官田區,新成屋,28698.11,9
台南市,將軍區,中古屋,18113.0,1
台南市,山上區,中古屋,12470.0,2
台南市,新化區,中古屋,25809.36,25
台南市,新市區,中古屋,27510.82,33
台南市,新市區,新成屋,12788.62,8
台南市,新營區,中古屋,20249.29,154
台南市,新營區,新成屋,41768.5,18
台南市,東區,中古屋,36482.66,905
台南市,東區,新成屋,65810.04,50
台南市,東山區,中古屋,24254.0,1
台南市,柳營區,中古屋,17894.38,8
台南市,柳營區,新成屋,34664.0,2
台南市,楠西區,中古屋,16084.0,1
台南市,歸仁區,中古屋,25941.11,97
台南市,歸仁區,新成屋,39970.22,9
台南市,永康區,中古屋,29886.55,1331
台南市,永康區,新成屋,46515.24,49
台南市,玉井區,中古屋,38104.2,5
台南市,白河區,中古屋,25913.96,23
台南市,西港區,中古屋,17612.62,8
台南市,西港區,新成屋,33092.44,9
台南市,關廟區,中古屋,17480.07,14
台南市,關廟區,新成屋,39309.0,1
台南市,鹽水區,中古屋,14679.55,20
台南市,鹽水區,新成屋,28115.0,1
台南市,麻豆區,中古屋,25389.29,24
台南市,麻豆區,新成屋,59591.17,6
台東縣,卑南鄉,中古屋,8678.5,4
台東縣,台東市,中古屋,26364.35,342
台東縣,台東市,新成屋,42008.4,10
台東縣,大武鄉,中古屋,15809.0,2
台東縣,太麻里鄉,中古屋,16973.36,22
台東縣,成功鎮,中古屋,21405.83,12
台東縣,池上鄉,中古屋,22041.62,8
台東縣,關山鎮,中古屋,20501.0,1
台東縣,鹿野鄉,中古屋,23880.33,3
嘉義市,嘉義市,中古屋,26630.3,1033
嘉義市,嘉義市,新成屋,52454.82,28
嘉義縣,中埔鄉,中古屋,37455.26,19
嘉義縣,大林鎮,中古屋,19704.5,20
嘉義縣,大林鎮,新成屋,35927.0,2
嘉義縣,太保市,中古屋,26336.69,71
嘉義縣,太保市,新成屋,31378.71,17
嘉義縣,布袋鎮,中古屋,13781.0,10
嘉義縣,新港鄉,中古屋,27193.0,1
嘉義縣,新港鄉,新成屋,34324.0,2
嘉義縣,朴子市,中古屋,23778.7,119
嘉義縣,朴子市,新成屋,35294.79,19
嘉義縣,梅山鄉,中古屋,15084.0,7
嘉義縣,梅山鄉,新成屋,33536.0,2
嘉義縣,民雄鄉,中古屋,20927.92,90
嘉義縣,民雄鄉,新成屋,34918.0,1
嘉義縣,水上鄉,中古屋,14719.57,14
嘉義縣,水上鄉,新成屋,40055.7,10
嘉義縣,溪口鄉,中古屋,25541.0,1
嘉義縣,番路鄉,中古屋,20269.2,10
嘉義縣,竹崎鄉,中古屋,33385.33,3
嘉義縣,鹿草鄉,新成屋,32958.0,2
基隆市,七堵區,中古屋,42155.76,144
基隆市,七堵區,新成屋,55332.51,51
基隆市,中山區,中古屋,32368.73,106
基隆市,中正區,中古屋,28900.03,631
基隆市,中正區,新成屋,41434.81,68
基隆市,仁愛區,中古屋,44270.91,45
基隆市,仁愛區,新成屋,74496.78,9
基隆市,信義區,中古屋,32817.84,267
基隆市,信義區,新成屋,70679.57,21
基隆市,安樂區,中古屋,32499.38,610
基隆市,安樂區,新成屋,56454.68,31
基隆市,暖暖區,中古屋,29695.34,359
基隆市,暖暖區,新成屋,46613.61,74
宜蘭縣,三星鄉,中古屋,28762.0,1
宜蘭縣,三星鄉,新成屋,38125.0,1
宜蘭縣,五結鄉,中古屋,37205.31,72
