縣市,行政區,BUILD,平均單價元平方公尺,交易筆數
南投縣,南投市,中古屋,47745.44,107
南投縣,南投市,新成屋,61221.61,38
南投縣,名間鄉,中古屋,25793.5,10
南投縣,名間鄉,新成屋,60694.25,4
南投縣,國姓鄉,中古屋,27773.33,6
南投縣,埔里鎮,中古屋,44694.28,92
南投縣,埔里鎮,新成屋,59851.2,10
南投縣,水里鄉,中古屋,31548.0,1
南投縣,竹山鎮,中古屋,27989.26,50
南投縣,竹山鎮,新成屋,50076.19,32
南投縣,草屯鎮,中古屋,29432.43,113
南投縣,草屯鎮,新成屋,47680.55,22
南投縣,集集鎮,中古屋,32820.0,3
南投縣,集集鎮,新成屋,59918.25,4
南投縣,鹿谷鄉,中古屋,42556.0,9
台中市,中區,中古屋,214.4,15
台中市,北區,中古屋,58343.04,1412
台中市,北區,新成屋,45836.89,18
台中市,北屯區,中古屋,70811.32,2167
台中市,北屯區,新成屋,81625.91,357
台中市,南區,中古屋,62191.64,973
台中市,南區,新成屋,93987.98,56
台中市,南屯區,中古屋,79105.31,1180
台中市,南屯區,新成屋,95081.62,293
台中市,后里區,中古屋,78313.3,23
台中市,后里區,新成屋,38652.0,5
台中市,外埔區,中古屋,37681.44,9
台中市,大安區,中古屋,56818.0,1
台中市,大安區,新成屋,58135.0,1
台中市,大甲區,中古屋,51390.09,43
台中市,大甲區,新成屋,64582.4,25
台中市,大肚區,中古屋,36517.34,59
台中市,大肚區,新成屋,68812.0,1
台中市,大里區,中古屋,55487.74,480
台中市,大里區,新成屋,66012.62,104
台中市,大雅區,中古屋,58528.26,170
台中市,大雅區,新成屋,54624.77,26
台中市,太平區,中古屋,60330.22,549
台中市,太平區,新成屋,80468.15,121
台中市,新社區,中古屋,22000.14,7
台中市,新社區,新成屋,47644.0,3
台中市,東勢區,中古屋,48845.96,26
台中市,東勢區,新成屋,77017.33,3
台中市,東區,中古屋,68138.05,214
台中市,東區,新成屋,67463.16,45
台中市,梧棲區,中古屋,49076.2,60
台中市,梧棲區,新成屋,50059.32,31
台中市,沙鹿區,中古屋,54140.28,232
台中市,沙鹿區,新成屋,71711.53,123
台中市,清水區,中古屋,42189.69,51
台中市,清水區,新成屋,53377.71,45
台中市,潭子區,中古屋,62103.11,311
台中市,潭子區,新成屋,100505.3,27
台中市,烏日區,中古屋,64939.52,185
台中市,烏日區,新成屋,48505.23,97
台中市,石岡區,中古屋,13386.0,2
台中市,神岡區,中古屋,49763.15,60
台中市,神岡區,新成屋,49030.5,12
台中市,西區,中古屋,65501.8,933
台中市,西區,新成屋,109633.5,24
台中市,西屯區,中古屋,70065.08,2135
台中市,西屯區,新成屋,98274.4,172
台中市,豐原區,中古屋,58286.01,283
台中市,豐原區,新成屋,66338.44,27
台中市,霧峰區,中古屋,45523.71,24
台中市,霧峰區,新成屋,106190.0,1
台中市,龍井區,中古屋,48110.18,172
台中市,龍井區,新成屋,50850.21,14
