縣市,行政區,BUILD,平均單價元平方公尺,交易筆數
南投縣,中寮鄉,中古屋,54091.0,1
南投縣,南投市,中古屋,49169.54,103
南投縣,南投市,新成屋,72841.16,19
南投縣,名間鄉,中古屋,32793.27,15
南投縣,名間鄉,新成屋,77400.88,8
南投縣,國姓鄉,中古屋,42103.5,2
南投縣,埔里鎮,中古屋,51372.74,61
南投縣,水里鄉,中古屋,39972.5,4
南投縣,水里鄉,新成屋,63274.0,2
南投縣,竹山鎮,中古屋,27619.59,32
南投縣,竹山鎮,新成屋,49825.94,16
南投縣,草屯鎮,中古屋,24058.92,89
南投縣,草屯鎮,新成屋,71417.1,10
南投縣,集集鎮,中古屋,46118.4,5
南投縣,集集鎮,新成屋,59715.0,1
南投縣,鹿谷鄉,中古屋,32337.0,4
台中市,中區,中古屋,298.67,6
台中市,北區,中古屋,54960.68,1411
台中市,北區,新成屋,37027.14,7
台中市,北屯區,中古屋,63195.32,2045
台中市,北屯區,新成屋,72226.67,470
台中市,南區,中古屋,60517.33,857
台中市,南區,新成屋,66290.38,58
台中市,南屯區,中古屋,71231.72,1095
台中市,南屯區,新成屋,96959.18,188
台中市,后里區,中古屋,68771.69,16
台中市,后里區,新成屋,84585.75,4
台中市,外埔區,中古屋,27941.75,4
台中市,大安區,中古屋,44109.0,6
台中市,大甲區,中古屋,47687.27,55
台中市,大甲區,新成屋,48160.87,23
台中市,大肚區,中古屋,39948.22,40
台中市,大肚區,新成屋,18583.5,4
台中市,大里區,中古屋,53876.23,483
台中市,大里區,新成屋,75282.68,71
台中市,大雅區,中古屋,61003.44,151
台中市,大雅區,新成屋,77922.39,28
台中市,太平區,中古屋,56658.81,619
台中市,太平區,新成屋,79690.48,80
台中市,新社區,中古屋,47646.0,4
台中市,新社區,新成屋,73553.0,1
台中市,東勢區,中古屋,54960.5,24
台中市,東勢區,新成屋,73237.6,5
台中市,東區,中古屋,59471.43,223
台中市,東區,新成屋,81832.45,53
台中市,梧棲區,中古屋,37978.71,59
台中市,梧棲區,新成屋,62114.22,37
台中市,沙鹿區,中古屋,49582.44,263
台中市,沙鹿區,新成屋,38674.58,252
台中市,清水區,中古屋,37378.52,71
台中市,清水區,新成屋,58209.18,62
台中市,潭子區,中古屋,63054.52,342
台中市,潭子區,新成屋,83171.77,13
台中市,烏日區,中古屋,60988.57,186
台中市,烏日區,新成屋,39088.22,108
台中市,石岡區,中古屋,62.5,2
台中市,神岡區,中古屋,55259.52,66
台中市,神岡區,新成屋,69996.45,11
台中市,西區,中古屋,55348.53,837
台中市,西區,新成屋,94341.88,26
台中市,西屯區,中古屋,65952.41,1801
台中市,西屯區,新成屋,97247.17,170
台中市,豐原區,中古屋,55417.02,291
台中市,豐原區,新成屋,62167.3,113
台中市,霧峰區,中古屋,33005.87,30
台中市,霧峰區,新成屋,76900.0,8
台中市,龍井區,中古屋,41269.97,137
台中市,龍井區,新成屋,59080.65,17
台北市,中山區,中古屋,136151.85,818
台北市,中山區,新成屋,268930.0,64
台北市,中正區,中古屋,175755.89,374
台北市,中正區,新成屋,200181.15,33
台北市,信義區,中古屋,162732.96,632
台北市,信義區,新成屋,257808.9,48
台北市,內湖區,中古屋,146822.07,1207
台北市,內湖區,新成屋,180779.0,74
台北市,北投區,中古屋,118791.21,794
台北市,北投區,新成屋,193887.14,90
台北市,南港區,中古屋,139998.4,457
台北市,南港區,新成屋,221843.86,14
台北市,士林區,中古屋,123635.63,865
台北市,士林區,新成屋,247254.73,73
台北市,大同區,中古屋,125886.98,178
台北市,大同區,新成屋,186478.09,117
台北市,大安區,中古屋,209435.42,884
台北市,大安區,新成屋,304573.13,39
台北市,文山區,中古屋,137103.0,765
台北市,文山區,新成屋,183414.28,61
台北市,松山區,中古屋,169728.65,606
台北市,松山區,新成屋,433137.49,43
台北市,萬華區,中古屋,114485.29,267
