縣市,行政區,BUILD,平均單價元平方公尺,交易筆數
南投縣,中寮鄉,中古屋,60852.0,1
南投縣,南投市,中古屋,34469.5,6
南投縣,南投市,新成屋,99993.87,15
南投縣,埔里鎮,中古屋,51622.67,3
南投縣,埔里鎮,新成屋,93319.67,6
南投縣,竹山鎮,中古屋,36283.67,3
南投縣,竹山鎮,新成屋,69974.0,1
南投縣,草屯鎮,中古屋,48236.18,11
南投縣,草屯鎮,新成屋,84014.0,2
南投縣,集集鎮,新成屋,75594.0,1
台中市,北區,中古屋,78906.55,82
台中市,北屯區,中古屋,83950.3,81
台中市,北屯區,新成屋,119270.0,36
台中市,南區,中古屋,78853.38,24
台中市,南區,新成屋,125484.25,8
台中市,南屯區,中古屋,96059.14,42
台中市,南屯區,新成屋,122703.0,8
台中市,后里區,中古屋,142461.0,4
台中市,大甲區,中古屋,82959.67,3
台中市,大甲區,新成屋,81297.0,1
台中市,大肚區,中古屋,54031.0,1
台中市,大里區,中古屋,68345.2,30
台中市,大里區,新成屋,109700.67,3
台中市,大雅區,中古屋,51733.17,12
台中市,太平區,中古屋,75683.65,26
台中市,太平區,新成屋,109298.8,10
台中市,東勢區,中古屋,91212.0,1
台中市,東勢區,新成屋,60510.0,2
台中市,東區,中古屋,55433.12,8
台中市,沙鹿區,中古屋,91055.25,16
台中市,沙鹿區,新成屋,100725.8,5
台中市,潭子區,中古屋,72362.81,16
台中市,烏日區,中古屋,93391.33,6
台中市,烏日區,新成屋,123380.0,4
台中市,神岡區,中古屋,112429.0,1
台中市,西區,中古屋,88238.95,19
台中市,西區,新成屋,126483.0,2
台中市,西屯區,中古屋,90171.96,57
台中市,西屯區,新成屋,120702.25,8
台中市,豐原區,中古屋,79711.75,4
台中市,豐原區,新成屋,103586.0,6
台中市,霧峰區,中古屋,41765.2,5
台中市,龍井區,中古屋,52672.67,3
台中市,龍井區,新成屋,102405.0,5
台北市,中山區,中古屋,243915.66,29
台北市,中山區,新成屋,291287.0,2
台北市,中正區,中古屋,246177.62,24
台北市,中正區,新成屋,445229.5,6
台北市,信義區,中古屋,285144.87,31
台北市,內湖區,中古屋,189495.96,45
台北市,北投區,中古屋,166282.4,50
台北市,北投區,新成屋,240603.0,4
台北市,南港區,中古屋,268148.95,21
台北市,士林區,中古屋,174761.77,35
台北市,士林區,新成屋,342481.0,8
台北市,大同區,中古屋,282716.0,3
台北市,大安區,中古屋,306364.91,57
台北市,大安區,新成屋,576656.0,4
台北市,文山區,中古屋,182066.17,76
台北市,文山區,新成屋,240055.0,3
台北市,松山區,中古屋,231283.25,32
台北市,松山區,新成屋,324043.0,3
台北市,萬華區,中古屋,145124.79,14
台南市,中西區,中古屋,73221.31,13
台南市,仁德區,中古屋,52906.74,19
台南市,仁德區,新成屋,90435.0,6
台南市,佳里區,中古屋,46280.0,3
台南市,北區,中古屋,91373.28,18
台南市,北區,新成屋,138149.0,1
台南市,南區,中古屋,57897.87,30
台南市,南區,新成屋,77695.5,4
台南市,善化區,中古屋,78922.8,5
台南市,學甲區,新成屋,72886.0,2
台南市,安南區,中古屋,50103.08,26
台南市,安南區,新成屋,72072.2,5
台南市,安平區,中古屋,58267.25,24
台南市,安平區,新成屋,102800.0,2
台南市,官田區,中古屋,31869.0,1
台南市,後壁區,中古屋,20792.0,1
台南市,新市區,中古屋,60296.0,3
台南市,新市區,新成屋,107034.0,2
台南市,新營區,中古屋,50510.22,9
台南市,新營區,新成屋,84546.6,5
台南市,東區,中古屋,79438.39,70
台南市,東區,新成屋,140863.4,5
台南市,柳營區,中古屋,24726.0,1
台南市,歸仁區,中古屋,150.0,1
台南市,歸仁區,新成屋,72285.78,9
台南市,永康區,中古屋,59424.82,100
台南市,永康區,新成屋,43331.0,4
台南市,關廟區,中古屋,78001.0,1
台南市,鹽水區,新成屋,126.0,1
台南市,麻豆區,中古屋,29079.0,2
台東縣,台東市,中古屋,60168.5,8
台東縣,東河鄉,中古屋,49031.0,1
嘉義市,嘉義市,中古屋,61850.48,62
嘉義市,嘉義市,新成屋,72963.0,4
嘉義縣,中埔鄉,中古屋,68713.0,1
嘉義縣,大林鎮,中古屋,33342.0,1
嘉義縣,太保市,新成屋,100671.0,2
嘉義縣,朴子市,中古屋,63898.0,9
嘉義縣,民雄鄉,中古屋,40570.5,10
基隆市,七堵區,中古屋,64243.29,17
基隆市,中山區,中古屋,32948.0,1
基隆市,中正區,中古屋,61347.74,72
基隆市,中正區,新成屋,98882.4,5
基隆市,仁愛區,中古屋,71669.6,5
基隆市,信義區,中古屋,71531.31,16
基隆市,信義區,新成屋,62532.0,4
基隆市,安樂區,中古屋,55562.53,36
基隆市,安樂區,新成屋,137464.33,6
基隆市,暖暖區,中古屋,57650.18,17
宜蘭縣,五結鄉,中古屋,82567.8,5
宜蘭縣,冬山鄉,中古屋,49986.0,1
宜蘭縣,壯圍鄉,中古屋,93635.0,1
宜蘭縣,宜蘭市,中古屋,78010.57,14
宜蘭縣,礁溪鄉,中古屋,62910.82,11
宜蘭縣,羅東鎮,中古屋,59407.71,7
宜蘭縣,羅東鎮,新成屋,102487.4,5
屏東縣,內埔鄉,中古屋,29396.0,1
屏東縣,南州鄉,新成屋,63309.0,1
屏東縣,屏東市,中古屋,46371.04,24
屏東縣,屏東市,新成屋,82998.5,8
屏東縣,恆春鎮,中古屋,25179.0,2
屏東縣,新園鄉,新成屋,68454.0,2
屏東縣,新埤鄉,中古屋,45267.0,2
屏東縣,東港鎮,中古屋,54498.0,1
屏東縣,枋寮鄉,新成屋,50605.0,1
屏東縣,林邊鄉,新成屋,72164.0,1
屏東縣,潮州鎮,中古屋,48453.0,6
屏東縣,潮州鎮,新成屋,84391.0,2
屏東縣,萬丹鄉,新成屋,88844.0,1
屏東縣,長治鄉,中古屋,46030.0,3
屏東縣,高樹鄉,新成屋,48488.0,1
屏東縣,麟洛鄉,新成屋,71011.0,2
彰化縣,二林鎮,中古屋,50479.0,2
彰化縣,二林鎮,新成屋,59260.67,3
彰化縣,伸港鄉,中古屋,43453.5,2
彰化縣,伸港鄉,新成屋,77540.0,1
彰化縣,北斗鎮,中古屋,43568.0,1
彰化縣,和美鎮,新成屋,133169.0,1
彰化縣,員林市,中古屋,59228.25,4
彰化縣,員林市,新成屋,87959.0,5
彰化縣,大村鄉,新成屋,75979.0,1
彰化縣,彰化市,中古屋,49022.8,15
彰化縣,彰化市,新成屋,89041.0,4
彰化縣,永靖鄉,中古屋,72387.0,1
彰化縣,溪州鄉,新成屋,74836.0,1
彰化縣,溪湖鎮,中古屋,45463.0,3
彰化縣,田中鎮,中古屋,64998.0,2
彰化縣,社頭鄉,中古屋,81815.0,1
彰化縣,社頭鄉,新成屋,83149.0,1
彰化縣,秀水鄉,中古屋,63507.0,1
彰化縣,竹塘鄉,中古屋,23243.0,1
彰化縣,鹿港鎮,中古屋,83454.33,3
彰化縣,鹿港鎮,新成屋,96982.0,1
新北市,三峽區,中古屋,117222.77,26
新北市,三芝區,中古屋,45374.5,12
新北市,三重區,中古屋,152401.04,51
新北市,三重區,新成屋,181257.93,15
新北市,中和區,中古屋,166651.92,119
新北市,中和區,新成屋,203551.0,2
新北市,五股區,中古屋,109450.19,31
新北市,五股區,新成屋,148850.0,2
新北市,八里區,中古屋,94077.82,11
新北市,土城區,中古屋,141412.17,36
新北市,土城區,新成屋,186590.2,20
新北市,新店區,中古屋,144966.83,71
新北市,新店區,新成屋,203805.83,12
新北市,新莊區,中古屋,135044.02,102
新北市,新莊區,新成屋,194042.33,6
新北市,板橋區,中古屋,172443.06,103
新北市,板橋區,新成屋,199523.0,6
新北市,林口區,中古屋,106248.72,43
新北市,林口區,新成屋,102244.2,10
新北市,樹林區,中古屋,99338.24,34
新北市,樹林區,新成屋,174500.0,2
新北市,永和區,中古屋,166234.19,21
新北市,永和區,新成屋,198811.0,3
新北市,汐止區,中古屋,134606.51,115
新北市,汐止區,新成屋,220668.0,2
新北市,泰山區,中古屋,118910.1,10
新北市,泰山區,新成屋,177049.0,2
新北市,淡水區,中古屋,83645.0,126
新北市,淡水區,新成屋,114195.22,9
新北市,深坑區,中古屋,89680.0,4
新北市,蘆洲區,中古屋,157012.2,50
新北市,蘆洲區,新成屋,225619.5,4
新北市,金山區,中古屋,71774.0,2
新北市,雙溪區,中古屋,21994.0,2
新北市,鶯歌區,中古屋,88654.67,6
新北市,鶯歌區,新成屋,133191.0,2
新竹市,新竹市,中古屋,122155.36,81
新竹市,新竹市,新成屋,153487.67,3
新竹縣,寶山鄉,中古屋,91497.0,3
新竹縣,新埔鎮,新成屋,107929.0,2
新竹縣,新豐鄉,中古屋,41805.5,4
新竹縣,竹北市,中古屋,124801.83,36
新竹縣,竹北市,新成屋,177371.0,2
新竹縣,竹東鎮,中古屋,71843.47,15
新竹縣,關西鎮,中古屋,29627.0,4
桃園市,中壢區,中古屋,88858.78,154
桃園市,中壢區,新成屋,117634.0,19
桃園市,八德區,中古屋,79393.4,48
桃園市,八德區,新成屋,126670.67,3
桃園市,大園區,中古屋,89741.83,18
桃園市,大園區,新成屋,130125.5,4
桃園市,大溪區,中古屋,63792.0,6
桃園市,大溪區,新成屋,78080.0,4
桃園市,平鎮區,中古屋,70990.48,63
桃園市,桃園區,中古屋,80757.18,158
桃園市,桃園區,新成屋,101407.05,19
桃園市,蘆竹區,中古屋,79023.42,36
桃園市,蘆竹區,新成屋,121889.0,3
桃園市,觀音區,中古屋,75872.0,1
桃園市,觀音區,新成屋,70153.5,4
桃園市,龍潭區,中古屋,38416.56,9
桃園市,龜山區,中古屋,96247.15,40
桃園市,龜山區,新成屋,131557.67,12
澎湖縣,馬公市,中古屋,36193.0,2
花蓮縣,吉安鄉,中古屋,63670.0,3
花蓮縣,壽豐鄉,中古屋,26025.0,6
花蓮縣,新城鄉,中古屋,60998.0,2
花蓮縣,新城鄉,新成屋,68122.0,2
花蓮縣,瑞穗鄉,新成屋,49424.0,1
花蓮縣,花蓮市,中古屋,52692.0,6
花蓮縣,花蓮市,新成屋,95412.0,1
苗栗縣,公館鄉,中古屋,37889.0,1
苗栗縣,竹南鎮,中古屋,65769.5,14
苗栗縣,竹南鎮,新成屋,82019.0,4
苗栗縣,苑裡鎮,中古屋,25950.0,1
苗栗縣,苗栗市,中古屋,43937.71,17
苗栗縣,苗栗市,新成屋,78547.67,6
苗栗縣,通霄鎮,中古屋,37734.0,1
苗栗縣,頭份市,中古屋,62707.53,15
苗栗縣,頭份市,新成屋,113847.4,5
苗栗縣,頭屋鄉,中古屋,37286.0,1
金門縣,金沙鎮,中古屋,48041.0,1
金門縣,金湖鎮,中古屋,78977.0,2
雲林縣,北港鎮,中古屋,36686.09,11
雲林縣,斗六市,中古屋,40875.27,11
雲林縣,斗六市,新成屋,67642.0,2
雲林縣,斗南鎮,中古屋,25630.0,2
