縣市,行政區,BUILD,平均單價元平方公尺,交易筆數
台南市,歸仁區,新成屋,74990.0,2
台南市,永康區,中古屋,34141.92,1273
台南市,永康區,新成屋,72677.31,148
台南市,玉井區,中古屋,14263.0,4
台南市,白河區,中古屋,30797.33,6
台南市,白河區,新成屋,48768.5,4
台南市,西港區,中古屋,36265.25,12
台南市,關廟區,中古屋,34255.57,7
台南市,關廟區,新成屋,47886.17,6
台南市,鹽水區,中古屋,23462.79,19
台南市,鹽水區,新成屋,49968.0,1
台南市,麻豆區,中古屋,48137.65,20
台南市,麻豆區,新成屋,57940.0,11
台東縣,卑南鄉,中古屋,11410.75,8
台東縣,台東市,中古屋,42595.76,158
台東縣,台東市,新成屋,58222.17,6
台東縣,成功鎮,中古屋,41829.6,5
台東縣,東河鄉,中古屋,41884.0,2
台東縣,池上鄉,中古屋,45053.0,1
台東縣,長濱鄉,中古屋,29984.0,1
台東縣,關山鎮,中古屋,43944.44,9
台東縣,關山鎮,新成屋,39203.0,1
台東縣,鹿野鄉,中古屋,25784.0,1
嘉義市,嘉義市,中古屋,37787.93,981
嘉義市,嘉義市,新成屋,49793.44,62
嘉義縣,中埔鄉,中古屋,39664.47,17
嘉義縣,中埔鄉,新成屋,78287.0,2
嘉義縣,大林鎮,中古屋,26991.09,23
嘉義縣,大林鎮,新成屋,44831.0,2
嘉義縣,太保市,中古屋,34894.24,74
嘉義縣,太保市,新成屋,56441.55,38
嘉義縣,布袋鎮,中古屋,19337.17,6
嘉義縣,新港鄉,中古屋,45993.2,5
嘉義縣,新港鄉,新成屋,261.0,1
嘉義縣,朴子市,中古屋,37832.68,117
嘉義縣,朴子市,新成屋,71548.43,7
嘉義縣,梅山鄉,中古屋,35776.12,8
嘉義縣,梅山鄉,新成屋,53613.75,4
嘉義縣,民雄鄉,中古屋,33309.55,76
嘉義縣,水上鄉,中古屋,25891.33,6
嘉義縣,水上鄉,新成屋,56171.0,1
嘉義縣,溪口鄉,中古屋,36854.67,3
嘉義縣,溪口鄉,新成屋,52599.0,1
嘉義縣,番路鄉,中古屋,17289.71,34
基隆市,七堵區,中古屋,45223.52,150
基隆市,七堵區,新成屋,74656.5,26
基隆市,中山區,中古屋,33936.56,107
基隆市,中正區,中古屋,36224.84,871
基隆市,中正區,新成屋,44080.11,125
基隆市,仁愛區,中古屋,26660.62,56
基隆市,信義區,中古屋,32652.96,297
基隆市,信義區,新成屋,67863.42,210
基隆市,安樂區,中古屋,48280.78,688
基隆市,安樂區,新成屋,104961.5,46
基隆市,暖暖區,中古屋,34608.81,327
基隆市,暖暖區,新成屋,71011.16,37
宜蘭縣,三星鄉,中古屋,46404.25,4
宜蘭縣,五結鄉,中古屋,53507.8,40
宜蘭縣,五結鄉,新成屋,63264.83,6
宜蘭縣,冬山鄉,中古屋,44992.73,22
宜蘭縣,冬山鄉,新成屋,65490.0,7
宜蘭縣,員山鄉,中古屋,34039.47,19
宜蘭縣,員山鄉,新成屋,81754.0,3
宜蘭縣,壯圍鄉,新成屋,39905.0,3
宜蘭縣,宜蘭市,中古屋,44806.54,333
宜蘭縣,宜蘭市,新成屋,78645.03,60
宜蘭縣,礁溪鄉,中古屋,59337.72,252
宜蘭縣,礁溪鄉,新成屋,103530.04,27
宜蘭縣,羅東鎮,中古屋,44057.17,213
宜蘭縣,羅東鎮,新成屋,101611.5,4
宜蘭縣,蘇澳鎮,中古屋,18916.91,33
宜蘭縣,蘇澳鎮,新成屋,49182.33,3
宜蘭縣,頭城鎮,中古屋,53447.78,46
宜蘭縣,頭城鎮,新成屋,79688.7,76
屏東縣,九如鄉,中古屋,27419.56,9
屏東縣,九如鄉,新成屋,47636.0,6
屏東縣,佳冬鄉,中古屋,21143.43,7
屏東縣,內埔鄉,中古屋,32823.83,42
屏東縣,內埔鄉,新成屋,56511.5,16
屏東縣,南州鄉,中古屋,28206.0,1
屏東縣,屏東市,中古屋,41596.61,547
屏東縣,屏東市,新成屋,64246.39,33
屏東縣,崁頂鄉,中古屋,45303.17,6
屏東縣,恆春鎮,中古屋,38971.3,44
屏東縣,恆春鎮,新成屋,73051.86,7
屏東縣,新園鄉,中古屋,42093.5,4
屏東縣,新園鄉,新成屋,67838.0,3
屏東縣,新埤鄉,中古屋,21317.0,2
屏東縣,新埤鄉,新成屋,50981.0,3
屏東縣,東港鎮,中古屋,33938.24,67
屏東縣,東港鎮,新成屋,55844.0,19
屏東縣,枋寮鄉,中古屋,21985.0,7
屏東縣,林邊鄉,中古屋,25506.29,7
屏東縣,林邊鄉,新成屋,45730.0,3
屏東縣,潮州鎮,中古屋,38808.58,109
屏東縣,潮州鎮,新成屋,70637.6,5
屏東縣,竹田鄉,中古屋,47554.0,1
屏東縣,萬丹鄉,中古屋,42837.3,10
屏東縣,萬丹鄉,新成屋,62039.5,2
屏東縣,萬巒鄉,中古屋,50794.67,3
屏東縣,車城鄉,中古屋,27797.0,1
屏東縣,車城鄉,新成屋,57624.0,1
屏東縣,里港鄉,中古屋,27253.8,5
屏東縣,里港鄉,新成屋,66862.0,1
屏東縣,長治鄉,中古屋,24709.35,49
屏東縣,長治鄉,新成屋,50427.0,8
屏東縣,高樹鄉,中古屋,23249.0,1
屏東縣,鹽埔鄉,中古屋,24714.2,5
屏東縣,麟洛鄉,中古屋,32911.0,2
彰化縣,二林鎮,中古屋,44281.68,19
彰化縣,二林鎮,新成屋,40009.0,1
彰化縣,二水鄉,中古屋,39961.25,4
彰化縣,二水鄉,新成屋,60958.5,2
彰化縣,伸港鄉,中古屋,50276.25,8
彰化縣,伸港鄉,新成屋,67018.38,8
彰化縣,北斗鎮,中古屋,44038.71,17
彰化縣,北斗鎮,新成屋,63529.83,6
彰化縣,和美鎮,中古屋,69600.47,38
彰化縣,和美鎮,新成屋,93956.4,5
彰化縣,員林市,中古屋,62703.96,140
彰化縣,員林市,新成屋,72503.51,39
彰化縣,埔心鄉,中古屋,49249.71,7
彰化縣,埔心鄉,新成屋,69607.14,7
彰化縣,埔鹽鄉,新成屋,67633.0,2
彰化縣,埤頭鄉,中古屋,47790.0,2
彰化縣,大村鄉,中古屋,46154.0,1
彰化縣,大村鄉,新成屋,56650.33,3
彰化縣,彰化市,中古屋,56701.48,319
彰化縣,彰化市,新成屋,82745.25,24
彰化縣,永靖鄉,中古屋,42626.33,6
彰化縣,溪州鄉,中古屋,31924.33,3
彰化縣,溪州鄉,新成屋,53933.5,2
彰化縣,溪湖鎮,中古屋,52162.52,29
彰化縣,溪湖鎮,新成屋,74434.12,8
彰化縣,田中鎮,中古屋,38482.72,18
彰化縣,田中鎮,新成屋,54264.0,3
彰化縣,田尾鄉,中古屋,29861.0,1
彰化縣,社頭鄉,中古屋,33931.33,6
彰化縣,社頭鄉,新成屋,56903.8,5
彰化縣,福興鄉,中古屋,47621.0,4
彰化縣,秀水鄉,中古屋,59614.12,8
彰化縣,秀水鄉,新成屋,89659.5,2
彰化縣,竹塘鄉,中古屋,48719.0,1
彰化縣,線西鄉,中古屋,28399.5,2
彰化縣,芬園鄉,中古屋,26348.0,1
彰化縣,花壇鄉,中古屋,63618.75,8
彰化縣,花壇鄉,新成屋,94457.0,1
彰化縣,鹿港鎮,中古屋,50914.06,34
彰化縣,鹿港鎮,新成屋,100849.67,15
新北市,三峽區,中古屋,77907.07,418
新北市,三峽區,新成屋,83901.96,28
新北市,三芝區,中古屋,23165.6,112
新北市,三重區,中古屋,105017.77,915
新北市,三重區,新成屋,113879.72,167
新北市,中和區,中古屋,111288.16,1687
新北市,中和區,新成屋,141530.35,346
新北市,五股區,中古屋,61523.73,610
新北市,五股區,新成屋,59835.24,121
新北市,八里區,中古屋,61937.33,327
新北市,八里區,新成屋,81809.36,42
新北市,土城區,中古屋,94377.02,742
新北市,土城區,新成屋,89722.28,88
新北市,新店區,中古屋,117941.86,1072
新北市,新店區,新成屋,128423.15,92
新北市,新莊區,中古屋,103695.47,1483
新北市,新莊區,新成屋,132964.2,382
新北市,板橋區,中古屋,123272.51,1315
新北市,板橋區,新成屋,142096.87,300
新北市,林口區,中古屋,81598.9,719
新北市,林口區,新成屋,123249.89,383
新北市,樹林區,中古屋,81831.16,479
新北市,樹林區,新成屋,72294.91,22
新北市,永和區,中古屋,111385.94,589
新北市,永和區,新成屋,166240.51,88
新北市,汐止區,中古屋,87452.1,1171
新北市,汐止區,新成屋,121133.46,203
新北市,泰山區,中古屋,76865.22,222
新北市,泰山區,新成屋,98180.0,9
新北市,淡水區,中古屋,61131.24,2684
新北市,淡水區,新成屋,60794.19,604
新北市,深坑區,中古屋,96263.83,77
新北市,深坑區,新成屋,115532.0,2
新北市,石門區,中古屋,19591.4,5
新北市,萬里區,中古屋,35371.41,79
新北市,蘆洲區,中古屋,100877.28,764
新北市,蘆洲區,新成屋,141082.12,83
新北市,貢寮區,中古屋,13503.0,8
新北市,金山區,中古屋,43358.12,34
新北市,金山區,新成屋,78590.33,51
新北市,雙溪區,中古屋,14996.0,1
新北市,鶯歌區,中古屋,61792.53,224
新北市,鶯歌區,新成屋,50360.59,130
新竹市,新竹市,中古屋,77571.25,1782
新竹市,新竹市,新成屋,85353.09,115
新竹縣,北埔鄉,中古屋,46877.5,2
新竹縣,北埔鄉,新成屋,41828.0,2
新竹縣,寶山鄉,中古屋,43630.69,29
新竹縣,新埔鎮,中古屋,56489.0,4
新竹縣,新埔鎮,新成屋,78032.25,8
新竹縣,新豐鄉,中古屋,53320.85,71
新竹縣,新豐鄉,新成屋,43245.89,53
新竹縣,橫山鄉,中古屋,105717.0,1
新竹縣,橫山鄉,新成屋,57934.86,7
新竹縣,湖口鄉,中古屋,48042.02,58
新竹縣,湖口鄉,新成屋,64152.9,21
新竹縣,竹北市,中古屋,92835.24,851
新竹縣,竹北市,新成屋,140615.3,162
新竹縣,竹東鎮,中古屋,46924.24,302
新竹縣,竹東鎮,新成屋,75437.51,37
新竹縣,芎林鄉,中古屋,38192.47,19
新竹縣,芎林鄉,新成屋,95007.0,1
新竹縣,關西鎮,中古屋,30521.6,20
桃園市,中壢區,中古屋,45722.79,3051
桃園市,中壢區,新成屋,66326.38,274
桃園市,八德區,中古屋,37511.41,993
桃園市,八德區,新成屋,28984.3,101
桃園市,大園區,中古屋,64437.52,262
桃園市,大園區,新成屋,30733.46,130
桃園市,大溪區,中古屋,32185.42,224
桃園市,大溪區,新成屋,48104.03,33
桃園市,平鎮區,中古屋,42987.07,780
桃園市,平鎮區,新成屋,46885.48,71
桃園市,新屋區,中古屋,41113.93,14
桃園市,新屋區,新成屋,51901.27,15
桃園市,桃園區,中古屋,51194.84,3588
桃園市,桃園區,新成屋,69395.78,326
桃園市,楊梅區,中古屋,31496.13,937
桃園市,楊梅區,新成屋,27250.13,214
桃園市,蘆竹區,中古屋,60690.58,898
桃園市,蘆竹區,新成屋,75192.16,25
桃園市,觀音區,中古屋,38924.38,34
桃園市,觀音區,新成屋,17607.53,98
桃園市,龍潭區,中古屋,43582.66,238
桃園市,龍潭區,新成屋,85064.42,85
桃園市,龜山區,中古屋,67728.37,1255
桃園市,龜山區,新成屋,52492.65,132
澎湖縣,馬公市,中古屋,47594.92,24
澎湖縣,馬公市,新成屋,46812.2,10
花蓮縣,光復鄉,中古屋,28157.25,4
花蓮縣,吉安鄉,中古屋,43087.11,147
花蓮縣,吉安鄉,新成屋,65438.18,11
花蓮縣,壽豐鄉,中古屋,30208.09,23
花蓮縣,富里鄉,中古屋,14617.5,2
花蓮縣,新城鄉,中古屋,41050.6,20
花蓮縣,新城鄉,新成屋,47100.56,9
花蓮縣,玉里鎮,中古屋,39700.55,11
花蓮縣,瑞穗鄉,中古屋,30324.67,3
花蓮縣,秀林鄉,中古屋,23253.0,10
花蓮縣,花蓮市,中古屋,43109.0,524
花蓮縣,花蓮市,新成屋,21357.25,8
花蓮縣,豐濱鄉,中古屋,20387.0,1
花蓮縣,鳳林鎮,中古屋,28881.71,7
苗栗縣,三灣鄉,中古屋,35029.0,1
苗栗縣,三義鄉,中古屋,39146.25,4
苗栗縣,公館鄉,中古屋,35758.5,10
苗栗縣,公館鄉,新成屋,49930.0,2
苗栗縣,卓蘭鎮,中古屋,52644.0,1
苗栗縣,卓蘭鎮,新成屋,46503.0,3
苗栗縣,大湖鄉,中古屋,25116.0,6
苗栗縣,後龍鎮,中古屋,23311.0,13
苗栗縣,後龍鎮,新成屋,54028.65,43
苗栗縣,竹南鎮,中古屋,46885.8,284
苗栗縣,竹南鎮,新成屋,46856.86,80
苗栗縣,苑裡鎮,中古屋,32291.0,19
苗栗縣,苑裡鎮,新成屋,73904.75,4
苗栗縣,苗栗市,中古屋,34171.56,122
苗栗縣,苗栗市,新成屋,45865.0,12
苗栗縣,通霄鎮,中古屋,31469.8,10
苗栗縣,造橋鄉,中古屋,17198.0,1
苗栗縣,銅鑼鄉,中古屋,56909.0,1
苗栗縣,銅鑼鄉,新成屋,52388.59,34
