縣市,行政區,BUILD,平均單價元平方公尺,交易筆數
南投縣,中寮鄉,中古屋,18307.0,1
南投縣,南投市,中古屋,53857.98,105
南投縣,南投市,新成屋,87189.81,27
南投縣,名間鄉,中古屋,32957.14,7
南投縣,國姓鄉,中古屋,25338.0,1
南投縣,埔里鎮,中古屋,59249.03,65
南投縣,埔里鎮,新成屋,72684.0,3
南投縣,水里鄉,中古屋,46709.57,7
南投縣,水里鄉,新成屋,56830.0,1
南投縣,竹山鎮,中古屋,36982.41,64
南投縣,竹山鎮,新成屋,57541.5,10
南投縣,草屯鎮,中古屋,54136.23,94
南投縣,草屯鎮,新成屋,78591.69,58
南投縣,集集鎮,中古屋,50680.67,3
南投縣,集集鎮,新成屋,54354.0,1
南投縣,魚池鄉,中古屋,49229.0,1
南投縣,鹿谷鄉,中古屋,67148.0,3
南投縣,鹿谷鄉,新成屋,72977.0,10
台中市,北區,中古屋,76370.34,1210
台中市,北區,新成屋,73965.37,27
台中市,北屯區,中古屋,80247.22,2245
台中市,北屯區,新成屋,104953.03,440
台中市,南區,中古屋,79032.13,969
台中市,南區,新成屋,101906.22,58
台中市,南屯區,中古屋,91177.42,1246
台中市,南屯區,新成屋,125563.4,215
台中市,后里區,中古屋,63051.77,22
台中市,后里區,新成屋,79821.6,5
台中市,外埔區,中古屋,55207.17,6
台中市,大安區,中古屋,46493.0,2
台中市,大甲區,中古屋,60509.89,54
台中市,大甲區,新成屋,73746.94,18
台中市,大肚區,中古屋,50543.0,23
台中市,大肚區,新成屋,46054.6,5
台中市,大里區,中古屋,68055.87,397
台中市,大里區,新成屋,71767.57,49
台中市,大雅區,中古屋,70627.84,144
台中市,大雅區,新成屋,92917.5,10
台中市,太平區,中古屋,76295.03,595
台中市,太平區,新成屋,90201.66,123
台中市,新社區,中古屋,51169.43,7
台中市,東勢區,中古屋,43504.68,34
台中市,東勢區,新成屋,81075.36,14
台中市,東區,中古屋,91781.06,250
台中市,東區,新成屋,89671.52,120
台中市,梧棲區,中古屋,53384.87,89
台中市,梧棲區,新成屋,74257.53,70
台中市,沙鹿區,中古屋,78785.9,217
台中市,沙鹿區,新成屋,95974.49,167
台中市,清水區,中古屋,48285.28,72
台中市,清水區,新成屋,63183.54,39
台中市,潭子區,中古屋,84787.79,321
台中市,潭子區,新成屋,107513.89,28
台中市,烏日區,中古屋,70941.84,191
台中市,烏日區,新成屋,88049.15,67
台中市,神岡區,中古屋,71183.29,52
台中市,神岡區,新成屋,92705.75,16
台中市,西區,中古屋,72675.43,735
台中市,西區,新成屋,131344.87,15
台中市,西屯區,中古屋,84433.48,1934
台中市,西屯區,新成屋,125749.31,163
台中市,豐原區,中古屋,70750.01,274
