縣市,行政區,BUILD,平均單價元平方公尺,交易筆數
南投縣,南投市,中古屋,43007.63,93
南投縣,南投市,新成屋,65907.0,15
南投縣,名間鄉,中古屋,35935.0,2
南投縣,名間鄉,新成屋,67523.0,1
南投縣,國姓鄉,中古屋,27381.0,1
南投縣,埔里鎮,中古屋,49397.23,65
南投縣,埔里鎮,新成屋,51251.5,6
南投縣,水里鄉,中古屋,34085.5,2
南投縣,竹山鎮,中古屋,34182.78,45
南投縣,竹山鎮,新成屋,50833.5,4
南投縣,草屯鎮,中古屋,35969.4,86
南投縣,草屯鎮,新成屋,75561.58,12
南投縣,集集鎮,中古屋,34776.0,4
南投縣,集集鎮,新成屋,49218.0,1
南投縣,鹿谷鄉,中古屋,41778.0,4
台中市,中區,中古屋,211.14,14
台中市,北區,中古屋,53659.16,922
台中市,北區,新成屋,73892.08,13
台中市,北屯區,中古屋,67430.96,1494
台中市,北屯區,新成屋,82830.07,330
台中市,南區,中古屋,62289.33,695
台中市,南區,新成屋,71734.68,28
台中市,南屯區,中古屋,59689.44,824
台中市,南屯區,新成屋,87359.69,148
台中市,后里區,中古屋,48958.8,10
台中市,后里區,新成屋,63288.44,9
台中市,外埔區,中古屋,442049.25,4
台中市,大安區,中古屋,50398.0,2
台中市,大甲區,中古屋,49976.1,40
台中市,大甲區,新成屋,76143.0,15
台中市,大肚區,中古屋,34624.87,23
台中市,大里區,中古屋,47999.01,382
台中市,大里區,新成屋,74851.25,93
台中市,大雅區,中古屋,58375.71,129
台中市,大雅區,新成屋,48458.1,21
台中市,太平區,中古屋,49801.39,474
台中市,太平區,新成屋,79170.11,63
台中市,新社區,中古屋,34215.36,14
台中市,新社區,新成屋,79218.0,1
台中市,東勢區,中古屋,40087.35,17
台中市,東勢區,新成屋,70057.38,8
台中市,東區,中古屋,64045.55,233
台中市,東區,新成屋,115325.95,40
台中市,梧棲區,中古屋,44600.28,47
台中市,梧棲區,新成屋,27436.22,36
台中市,沙鹿區,中古屋,37033.02,210
台中市,沙鹿區,新成屋,27445.59,140
台中市,清水區,中古屋,41607.31,42
台中市,清水區,新成屋,39534.96,28
台中市,潭子區,中古屋,86432.05,212
台中市,潭子區,新成屋,91056.65,23
台中市,烏日區,中古屋,58280.12,178
台中市,烏日區,新成屋,46413.91,55
台中市,石岡區,中古屋,66320.0,2
台中市,神岡區,中古屋,49201.2,44
台中市,神岡區,新成屋,61775.71,17
台中市,西區,中古屋,58724.81,628
