縣市,行政區,BUILD,平均單價元平方公尺,交易筆數
南投縣,中寮鄉,中古屋,16903.0,1
南投縣,仁愛鄉,中古屋,4743.0,1
南投縣,南投市,中古屋,26798.91,140
南投縣,南投市,新成屋,63033.95,44
南投縣,名間鄉,中古屋,17778.88,8
南投縣,國姓鄉,中古屋,33343.25,4
南投縣,埔里鎮,中古屋,29380.64,109
南投縣,埔里鎮,新成屋,49049.5,6
南投縣,水里鄉,中古屋,39353.25,4
南投縣,竹山鎮,中古屋,18141.88,41
南投縣,草屯鎮,中古屋,25582.6,141
南投縣,草屯鎮,新成屋,64401.89,9
南投縣,集集鎮,中古屋,22158.5,4
南投縣,集集鎮,新成屋,37641.25,4
南投縣,魚池鄉,中古屋,30834.0,1
台中市,中區,中古屋,297.0,3
台中市,北區,中古屋,192.07,57
台中市,北區,新成屋,245.12,113
台中市,北屯區,中古屋,145.58,89
台中市,北屯區,新成屋,191.92,12
台中市,南區,中古屋,123.11,9
台中市,南屯區,中古屋,218.13,70
台中市,南屯區,新成屋,368.86,7
台中市,后里區,中古屋,86.0,1
台中市,外埔區,中古屋,87.0,1
台中市,大甲區,中古屋,79.0,1
台中市,大里區,中古屋,134.27,11
台中市,大里區,新成屋,166.0,1
台中市,大雅區,中古屋,109.2,5
台中市,太平區,中古屋,103.09,35
台中市,太平區,新成屋,480.0,1
台中市,東勢區,中古屋,177.0,1
台中市,東區,中古屋,104.67,6
台中市,梧棲區,中古屋,71.5,2
台中市,沙鹿區,中古屋,76.0,1
台中市,沙鹿區,新成屋,119.0,4
台中市,清水區,中古屋,87.0,3
台中市,潭子區,中古屋,126.62,8
台中市,烏日區,中古屋,145.0,3
台中市,烏日區,新成屋,113.0,1
台中市,神岡區,中古屋,91.2,5
台中市,西區,中古屋,206.98,85
台中市,西區,新成屋,363.67,3
台中市,西屯區,中古屋,211.55,121
台中市,西屯區,新成屋,190.47,19
台中市,豐原區,中古屋,114.52,21
台中市,豐原區,新成屋,198.0,2
台中市,龍井區,中古屋,66.0,2
台北市,中山區,中古屋,160520.84,1021
台北市,中山區,新成屋,182336.42,364
台北市,中正區,中古屋,179919.1,318
台北市,中正區,新成屋,234799.32,204
台北市,信義區,中古屋,172515.67,658
台北市,信義區,新成屋,289328.55,131
台北市,內湖區,中古屋,143121.87,1640
台北市,內湖區,新成屋,172664.5,649
台北市,北投區,中古屋,124585.34,908
台北市,北投區,新成屋,137667.14,269
台北市,南港區,中古屋,138617.37,296
台北市,南港區,新成屋,167795.1,525
台北市,士林區,中古屋,136966.97,904
台北市,士林區,新成屋,144893.61,248
台北市,大同區,中古屋,133117.43,160
台北市,大同區,新成屋,151752.14,70
台北市,大安區,中古屋,212259.13,870
台北市,大安區,新成屋,242602.05,257
台北市,文山區,中古屋,119140.92,996
台北市,文山區,新成屋,148789.89,598
台北市,松山區,中古屋,178987.41,678
台北市,松山區,新成屋,196326.39,108
台北市,萬華區,中古屋,111497.41,259
台北市,萬華區,新成屋,158983.37,41
台南市,七股區,中古屋,11962.0,2
台南市,下營區,中古屋,22519.67,3
台南市,中西區,中古屋,28955.34,321
台南市,中西區,新成屋,69048.29,17
台南市,仁德區,中古屋,30775.89,261
台南市,仁德區,新成屋,28891.52,123
台南市,佳里區,中古屋,22681.85,39
台南市,佳里區,新成屋,35631.28,29
台南市,六甲區,中古屋,25675.43,7
台南市,六甲區,新成屋,24341.0,1
台南市,北區,中古屋,33177.88,602
台南市,北區,新成屋,59283.7,77
台南市,北門區,中古屋,18646.0,2
台南市,南區,中古屋,23613.87,458
台南市,南區,新成屋,49480.95,19
台南市,善化區,中古屋,27638.97,70
台南市,善化區,新成屋,40204.28,39
台南市,大內區,中古屋,9538.0,1
台南市,學甲區,中古屋,9881.33,12
台南市,學甲區,新成屋,26346.0,3
台南市,安南區,中古屋,27096.05,316
台南市,安南區,新成屋,43851.0,296
台南市,安定區,中古屋,18674.64,11
台南市,安定區,新成屋,30306.0,2
台南市,安平區,中古屋,26860.44,750
台南市,安平區,新成屋,55768.64,14
台南市,官田區,中古屋,18973.33,6
台南市,將軍區,中古屋,12558.0,1
台南市,後壁區,中古屋,9398.0,4
台南市,新化區,中古屋,22714.41,49
台南市,新市區,中古屋,24526.97,74
台南市,新市區,新成屋,40419.4,10
台南市,新營區,中古屋,23088.49,138
台南市,新營區,新成屋,34467.2,20
台南市,東區,中古屋,32065.51,1263
台南市,東區,新成屋,49517.14,100
台南市,東山區,中古屋,19923.0,5
