縣市,行政區,BUILD,平均單價元平方公尺,交易筆數
南投縣,中寮鄉,中古屋,12311.0,4
南投縣,南投市,中古屋,25397.43,92
南投縣,南投市,新成屋,59976.83,6
南投縣,名間鄉,中古屋,25238.25,4
南投縣,國姓鄉,中古屋,20242.67,3
南投縣,埔里鎮,中古屋,27769.09,81
南投縣,埔里鎮,新成屋,3042.0,1
南投縣,水里鄉,中古屋,25616.44,9
南投縣,竹山鎮,中古屋,19929.63,30
南投縣,竹山鎮,新成屋,34780.0,1
南投縣,草屯鎮,中古屋,23079.2,105
南投縣,草屯鎮,新成屋,60058.57,7
南投縣,集集鎮,中古屋,22117.29,7
南投縣,鹿谷鄉,中古屋,21334.5,4
台中市,中區,中古屋,24565.93,29
台中市,北區,中古屋,42916.44,1322
台中市,北區,新成屋,23429.58,222
台中市,北屯區,中古屋,35981.94,1561
台中市,北屯區,新成屋,54825.22,265
台中市,南區,中古屋,34555.18,810
台中市,南區,新成屋,50820.19,195
台中市,南屯區,中古屋,47858.97,936
台中市,南屯區,新成屋,68729.99,212
台中市,后里區,中古屋,43309.52,23
台中市,后里區,新成屋,47330.25,4
台中市,外埔區,中古屋,23930.0,12
台中市,外埔區,新成屋,34439.0,3
台中市,大安區,中古屋,14247.0,2
台中市,大甲區,中古屋,34812.87,31
台中市,大甲區,新成屋,41401.4,5
台中市,大肚區,中古屋,22279.07,56
台中市,大肚區,新成屋,29533.8,5
台中市,大里區,中古屋,35415.26,461
台中市,大里區,新成屋,50656.9,48
台中市,大雅區,中古屋,36500.05,111
台中市,大雅區,新成屋,51971.43,7
台中市,太平區,中古屋,29929.76,489
台中市,太平區,新成屋,58846.82,28
台中市,新社區,中古屋,17334.0,4
台中市,東勢區,中古屋,26365.68,25
台中市,東勢區,新成屋,24140.0,1
台中市,東區,中古屋,37005.6,150
台中市,東區,新成屋,65644.0,14
台中市,梧棲區,中古屋,24304.19,43
台中市,梧棲區,新成屋,45692.12,8
台中市,沙鹿區,中古屋,37073.07,137
台中市,沙鹿區,新成屋,43280.62,232
台中市,清水區,中古屋,24132.4,62
台中市,清水區,新成屋,29644.74,23
台中市,潭子區,中古屋,33334.33,311
台中市,潭子區,新成屋,45256.96,28
台中市,烏日區,中古屋,31823.48,105
台中市,烏日區,新成屋,50629.76,29
台中市,石岡區,中古屋,32699.25,4
台中市,神岡區,中古屋,29256.1,67
